|LEVEL|NAME|EMPID|TYPE|
|1|_DWH|\\|FOLDER|
|1|_ETLFRAMEWORK|\\|FOLDER|
|2|10_DWH|\\_DWH|FOLDER|
|2|16_SHARED_SEQS|\\_DWH|FOLDER|
|2|20_LOAD_JOBS|\\_DWH|FOLDER|
|2|40_UTIL|\\_DWH|FOLDER|
|2|50_PARAMETER_SETS|\\_DWH|FOLDER|
|2|70_TRANSFORMS|\\_DWH|FOLDER|
|2|80_ROUTINES|\\_DWH|FOLDER|
|3|ABS|\\_DWH\\10_DWH|FOLDER|
|3|BIS|\\_DWH\\10_DWH|FOLDER|
|4|CREDIT|\\_DWH\\10_DWH\\ABS|FOLDER|
|5|PH01B_PREPARE|\\_DWH\\10_DWH\\ABS\\CREDIT|FOLDER|
|5|PH01C_GET_CHANGES|\\_DWH\\10_DWH\\ABS\\CREDIT|FOLDER|
|5|PH03A_TRANSFORM|\\_DWH\\10_DWH\\ABS\\CREDIT|FOLDER|
|6|CREDIT|\\_DWH\\10_DWH\\ABS\\CREDIT\\PH01B_PREPARE|FOLDER|
|7|ABS_CREDIT_FULL_PH01B_V_BCE_LOAN_PART1_JOB|\\_DWH\\10_DWH\\ABS\\CREDIT\\PH01B_PREPARE\\CREDIT|JOB|
|6|CREDIT|\\_DWH\\10_DWH\\ABS\\CREDIT\\PH01C_GET_CHANGES|FOLDER|
|7|ABS_CREDIT_FULL_PH01C_V_BCE_LOAN_AR_X_RATE_TP_JOB|\\_DWH\\10_DWH\\ABS\\CREDIT\\PH01C_GET_CHANGES\\CREDIT|JOB|
|6|CREDIT|\\_DWH\\10_DWH\\ABS\\CREDIT\\PH03A_TRANSFORM|FOLDER|
|7|ABS_CREDIT_FULL_PH03A_AR_X_AU_JOB_NEW|\\_DWH\\10_DWH\\ABS\\CREDIT\\PH03A_TRANSFORM\\CREDIT|JOB|
|4|CREDIT|\\_DWH\\10_DWH\\BIS|FOLDER|
|4|LORONOSTRO|\\_DWH\\10_DWH\\BIS|FOLDER|
|5|PH01A_EXTRACT|\\_DWH\\10_DWH\\BIS\\CREDIT|FOLDER|
|5|PH01B_PREPARE|\\_DWH\\10_DWH\\BIS\\CREDIT|FOLDER|
|5|PH01C_GET_CHANGES|\\_DWH\\10_DWH\\BIS\\CREDIT|FOLDER|
|5|PH02B_GET_ALL_SK|\\_DWH\\10_DWH\\BIS\\CREDIT|FOLDER|
|5|PH02_GET_NEW_SK|\\_DWH\\10_DWH\\BIS\\CREDIT|FOLDER|
|5|PH03A_TRANSFORM|\\_DWH\\10_DWH\\BIS\\CREDIT|FOLDER|
|5|PH03B_UNION|\\_DWH\\10_DWH\\BIS\\CREDIT|FOLDER|
|5|PH04_LOAD|\\_DWH\\10_DWH\\BIS\\CREDIT|FOLDER|
|5|BIS_CREDIT_FULL_CYCLE_SEQ|\\_DWH\\10_DWH\\BIS\\CREDIT|JOB|
|5|BIS_CREDIT_FULL_SEQ|\\_DWH\\10_DWH\\BIS\\CREDIT|JOB|
|5|BIS_CREDIT_MAIN_ALL_SEQ|\\_DWH\\10_DWH\\BIS\\CREDIT|JOB|
|5|BIS_CREDIT_MAIN_SEQ|\\_DWH\\10_DWH\\BIS\\CREDIT|JOB|
|6|AUTHORIZATION|\\_DWH\\10_DWH\\BIS\\CREDIT\\PH01A_EXTRACT|FOLDER|
|6|CONDITION|\\_DWH\\10_DWH\\BIS\\CREDIT\\PH01A_EXTRACT|FOLDER|
|6|CREDIT_OFFICER|\\_DWH\\10_DWH\\BIS\\CREDIT\\PH01A_EXTRACT|FOLDER|
|6|A_BIS_CREDIT_FULL_PH01A_EXTRACT_SEQ|\\_DWH\\10_DWH\\BIS\\CREDIT\\PH01A_EXTRACT|JOB|
|6|BIS_CREDIT_PH01A_AR_EV_UPDATE_JOB|\\_DWH\\10_DWH\\BIS\\CREDIT\\PH01A_EXTRACT|JOB|
|6|BIS_CREDIT_PH01A_ASEUPF_JOB|\\_DWH\\10_DWH\\BIS\\CREDIT\\PH01A_EXTRACT|JOB|
|6|BIS_CREDIT_PH01A_ASRVSC10_JOB|\\_DWH\\10_DWH\\BIS\\CREDIT\\PH01A_EXTRACT|JOB|
|6|BIS_CREDIT_PH01A_AU_JOB|\\_DWH\\10_DWH\\BIS\\CREDIT\\PH01A_EXTRACT|JOB|
|6|BIS_CREDIT_PH01A_BIS_AR_EFF_DT_CHG_HIST_UPDATE_JOB|\\_DWH\\10_DWH\\BIS\\CREDIT\\PH01A_EXTRACT|JOB|
